date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:22:10	5254/5254	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2269a01f78-24a3%22	https://huystackai.github.io/robots.txt		(from )
10:22:10	95215/95215	---M-Z	200	added ('OK')	text/html	etag:W/%226a0ab6c4-173ef%22	https://huystackai.github.io/	C:/Users/ACER/Downloads/pfNA/huystackai.github.io/index.html	(from )
10:22:10	340/340	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2024%20Apr%202026%2008:07:41%20GMT	https://unpkg.com/ionicons@7.1.0/dist/ionicons/ionicons.esm.js	C:/Users/ACER/Downloads/pfNA/unpkg.com/ionicons@7.1.0/dist/ionicons/ionicons.esm.js	(from https://huystackai.github.io/)
10:22:10	119689/119689	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2023%20Dec%202025%2017:32:31%20GMT	https://unpkg.com/ionicons@7.1.0/dist/ionicons/ionicons.js	C:/Users/ACER/Downloads/pfNA/unpkg.com/ionicons@7.1.0/dist/ionicons/ionicons.js	(from https://huystackai.github.io/)
10:22:11	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/Users/ACER/Downloads/pfNA/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://huystackai.github.io/)
10:22:11	51537/51537	---M-Z	200	added ('OK')	text/css	etag:W/%226a0ab6c4-c951%22	https://huystackai.github.io/css/style.css	C:/Users/ACER/Downloads/pfNA/huystackai.github.io/css/style.css	(from https://huystackai.github.io/)
10:22:12	1311077/1311077	---M--	200	added ('OK')	image/jpeg	etag:%226a0ab6c4-140165%22	https://huystackai.github.io/img/anhdaidien.jpg	C:/Users/ACER/Downloads/pfNA/huystackai.github.io/img/anhdaidien.jpg	(from https://huystackai.github.io/)
10:22:12	140553/140553	---M--	200	added ('OK')	application/pdf	etag:%226a0ab6c4-22509%22	https://huystackai.github.io/CV.pdf	C:/Users/ACER/Downloads/pfNA/huystackai.github.io/CV.pdf	(from https://huystackai.github.io/)
10:22:12	59321/59321	---M--	200	added ('OK')	image/png	etag:%226a0ab6c4-e7b9%22	https://huystackai.github.io/img/tuhoc50.png	C:/Users/ACER/Downloads/pfNA/huystackai.github.io/img/tuhoc50.png	(from https://huystackai.github.io/)
10:22:12	1745574/1745574	---M--	200	added ('OK')	image/png	etag:%226a0ab6c4-1aa2a6%22	https://huystackai.github.io/img/GSA.png	C:/Users/ACER/Downloads/pfNA/huystackai.github.io/img/GSA.png	(from https://huystackai.github.io/)
